name,classification,description
"100% Speedlab, LLC",NA,
"10x Genomics, Inc.",Company,"10x Genomics, Inc. is a publicly listed biotechnology company specializing in advanced genomic analysis technologies."
RKW SE,Company,RKW SE is a leading manufacturer of film solutions and nonwovens for various industries.
Skin Analytics Ltd,Startup,Skin Analytics Ltd is a health technology startup focused on developing AI-driven solutions for skin cancer detection.
Surteco SE,Company,Surteco SE is a publicly listed company specializing in surface technologies and decorative materials.
Silicon Line GmbH,Company,Silicon Line GmbH is a company specializing in optical link technology for consumer electronics and mobile devices.
Focke & Co.,NA,
Skin Analytics Ltd,Startup,Skin Analytics Ltd is a health technology startup specializing in AI-driven skin cancer detection solutions.
"Dias Duque, Vasco Barreiros",Individual,
Diasen S.r.l.,NA,
DIASIS S.r.l.,NA,
DiaSorin S.p.A.,Company,DiaSorin S.p.A. is a publicly listed Italian biotechnology company specializing in the development and production of diagnostic tests.
Diasys Technologies S.A.R.L.,NA,
Diatech S.r.l.,Startup,Diatech S.r.l. is a biotechnology startup specializing in the development of diagnostic solutions.
"Diatex Co., Ltd.",Company,"Diatex Co., Ltd. is a publicly listed company specializing in the production of industrial textiles."
Diatheva S.r.l.,Company,Diatheva S.r.l. is a biotechnology company specializing in the development and production of diagnostic kits and biopharmaceuticals.
Diatos,NA,
Diatos S.A.,Company,Diatos S.A. is a publicly listed biopharmaceutical company focused on the development of targeted anti-cancer therapies.
Diatos S.A.,Company,Diatos S.A. is a biotechnology company focused on the development of targeted anti-cancer therapies.
Diatrend Corporation,Company,Diatrend Corporation is a publicly listed company specializing in the manufacturing of precision diamond tools.
Diatron MI PLC,Company,Diatron MI PLC is a manufacturer of hematology and clinical chemistry analyzers and reagents.
"Diaz Arias, Herman",Individual,
"Díaz Brie, Miguel",Individual,
"Diaz-Crespo Valdes, Jorge",Individual,
"Diaz Espinosa, Pedro Alfonso",Individual,
"Díaz Ferrero, Pablo Gabriel",Individual,
EcoProHN,Startup,EcoProHN is a startup focused on developing sustainable and eco-friendly products.
"Ecopro Innovation Co., Ltd.",Company,"Ecopro Innovation Co., Ltd. is a publicly listed company specializing in eco-friendly materials and technologies."
